time,theta_b,dtheta_b,dtheta_w
78.27,0.00,4.49,-1827.19
97.29,0.35,18.48,-2282.81
113.15,0.70,22.17,-2710.31
129.72,1.05,21.22,-2783.44
155.20,1.41,13.80,-2505.00
191.70,1.76,9.63,-2085.94
373.52,1.41,-1.93,-561.56
408.85,1.05,-9.95,-218.44
439.64,0.70,-11.42,-46.87
470.95,0.35,-11.23,-46.87
502.10,0.00,-11.29,127.50
538.29,-0.35,-9.71,116.25
580.34,-0.70,-8.36,31.88
635.46,-1.05,-6.38,-7.50
707.64,-1.41,-4.87,-359.06
1049.52,-1.05,1.03,-1281.56
1109.70,-0.70,5.84,-1340.63
1118.60,-0.35,39.51,-1329.37
1124.36,0.00,61.08,-1343.44
1129.19,0.35,72.80,-1343.44
1132.88,0.70,95.25,-1343.44
1135.87,1.05,117.38,-1343.44
1140.24,1.41,80.47,-1368.75
1143.29,1.76,115.34,-1368.75
1146.22,2.11,119.82,-1368.75
1149.74,2.46,99.96,-1368.75
1153.11,2.81,104.20,-1377.19
1156.75,3.16,96.74,-1377.19
1159.77,3.52,116.30,-1377.19
1162.13,3.87,149.28,-1377.19
1165.84,4.22,94.76,-1129.69
1168.84,4.57,116.84,-1129.69
1171.63,4.92,126.10,-1129.69
1175.08,5.27,101.93,-1129.69
1178.31,5.62,108.74,-1129.69
1181.00,5.98,131.13,-969.38
1184.24,6.33,108.37,-969.38
1186.81,6.68,136.79,-969.38
1189.86,7.03,115.15,-969.38
1193.68,7.38,92.15,-662.81
1196.93,7.73,108.04,-662.81
1199.90,8.09,118.65,-662.81
1202.60,8.44,130.02,-662.81
1205.54,8.79,119.70,-662.81
1208.09,9.14,137.38,-325.31
1211.15,9.49,115.19,-325.31
1213.07,9.84,183.20,-325.31
1216.23,10.20,111.18,-325.31
1218.74,10.55,140.18,-325.31
1221.18,10.90,143.96,476.25
1224.02,11.25,123.88,476.25
1226.83,11.60,124.89,476.25
1229.02,11.95,160.97,476.25
1231.85,12.30,124.14,476.25
1234.44,12.66,135.63,1069.69
1236.57,13.01,164.59,1069.69
1238.98,13.36,146.06,1069.69
1241.66,13.71,131.13,1069.69
1244.60,14.06,119.70,1069.69
1246.61,14.41,175.26,1069.69
1248.84,14.77,157.09,1685.63
1251.67,15.12,124.62,1685.63
1254.30,15.47,133.42,1685.63
1257.07,15.82,126.78,1685.63
1259.12,16.17,171.75,1685.63
1262.18,16.52,115.04,1685.63
1264.57,16.88,146.61,1995.00
1267.71,17.23,112.25,1995.00
1270.51,17.58,125.60,1995.00
1273.51,17.93,117.19,1995.00
1275.83,18.28,151.47,1995.00
1279.33,18.63,100.22,2492.81
1282.24,18.98,121.10,2492.81
1285.59,19.34,104.69,2492.81
1289.43,19.69,91.65,2492.81
1292.89,20.04,101.78,2973.75
1295.80,20.39,120.60,2973.75
1300.90,20.74,68.93,2973.75
1304.65,21.09,93.75,3437.81
1308.71,21.45,86.68,3437.81
1313.72,21.80,70.09,3437.81
1319.48,22.15,61.08,3910.31
1323.89,22.50,79.74,3910.31
1330.17,22.85,55.99,3910.31
1336.85,23.20,52.57,4405.31
1341.81,23.55,70.95,4405.31
1347.87,23.91,57.98,4866.56
1353.94,24.26,57.99,4866.56
1359.26,24.61,66.07,4866.56
1364.10,24.96,72.62,5296.88
1370.33,25.31,56.38,5296.88
1375.35,25.66,70.09,5822.81
1380.42,26.02,69.33,5822.81
1385.00,26.37,76.74,5822.81
1389.13,26.72,85.14,6300.94
1393.38,27.07,82.80,6300.94
1397.77,27.42,80.10,6300.94
1402.19,27.77,79.54,6767.81
1406.57,28.12,80.14,6767.81
1410.63,28.48,86.68,6767.81
1414.64,28.83,87.63,6767.81
1419.44,29.18,73.29,7172.81
1424.50,29.53,69.48,7172.81
1429.99,29.88,63.99,7693.13
1435.14,30.23,68.32,7693.13
1441.81,30.59,52.68,7693.13
1447.20,30.94,65.24,8193.75
1453.14,31.29,59.20,8193.75
1464.41,31.64,31.20,8595.94
1476.51,31.99,29.05,9099.38
1492.27,32.34,22.30,9574.69
1523.82,32.70,11.14,10474.69
1550.23,33.05,13.31,11377.50
1562.25,33.40,29.26,11844.37
1626.16,33.05,-5.50,14043.75
1638.29,32.70,-28.99,14521.88
1649.33,32.34,-31.85,14521.88
1655.17,31.99,-60.17,14977.50
1663.42,31.64,-42.63,14977.50
1671.92,31.29,-41.36,15357.19
1678.55,30.94,-53.03,15897.19
1688.84,30.59,-34.16,15897.19
1696.53,30.23,-45.69,16279.69
1706.46,29.88,-35.43,16752.19
1715.53,29.53,-38.76,16752.19
1725.94,29.18,-33.77,17241.56
1735.37,28.83,-37.26,17570.62
1743.05,28.48,-45.81,17570.62
1753.69,28.12,-33.04,18071.25
1759.36,27.77,-62.00,18071.25
1767.99,27.42,-40.71,18555.00
1773.23,27.07,-67.17,18555.00
1778.81,26.72,-62.98,18898.13
1783.26,26.37,-79.04,18898.13
1789.80,26.02,-53.73,19311.56
1794.13,25.66,-81.15,19311.56
1798.26,25.31,-85.14,19311.56
1803.32,24.96,-69.49,19840.31
1807.65,24.61,-81.15,19840.31
1811.81,24.26,-84.53,19840.31
1815.36,23.91,-99.14,20253.75
1820.46,23.55,-68.88,20253.75
1825.04,23.20,-76.79,20253.75
1828.31,22.85,-107.48,20580.00
1831.76,22.50,-101.99,20580.00
1836.03,22.15,-82.26,20580.00
1840.96,21.80,-71.34,20580.00
1844.80,21.45,-91.51,20883.75
1847.85,21.09,-115.19,20883.75
1853.70,20.74,-60.15,20883.75
1857.62,20.39,-89.55,21238.12
1861.39,20.04,-93.48,21238.12
1865.51,19.69,-85.17,21238.12
1870.54,19.34,-69.88,21570.00
1875.55,18.98,-70.30,21570.00
1880.00,18.63,-78.90,21570.00
1884.35,18.28,-80.74,21766.88
1890.77,17.93,-54.80,21766.88
1894.39,17.58,-97.12,21766.88
1898.27,17.23,-90.59,21856.87
1905.20,16.88,-50.72,21856.87
1909.30,16.52,-85.75,21856.87
1913.23,16.17,-89.57,21890.63
1917.33,15.82,-85.75,21890.63
1923.61,15.47,-55.97,21890.63
1927.27,15.12,-95.95,21913.12
1930.54,14.77,-107.51,21913.12
1935.73,14.41,-67.74,21913.12
1940.84,14.06,-68.84,21989.06
1943.81,13.71,-118.57,21989.06
1947.82,13.36,-87.63,21989.06
1952.46,13.01,-75.72,22050.94
1955.85,12.66,-103.55,22050.94
1960.24,12.30,-80.08,22050.94
1962.99,11.95,-127.98,22050.94
1967.14,11.60,-84.86,22011.56
1972.13,11.25,-70.40,22011.56
1974.72,10.90,-135.48,22011.56
1978.74,10.55,-87.63,22011.56
1981.40,10.20,-131.97,21823.12
1985.67,9.84,-82.26,21823.12
1990.78,9.49,-68.85,21823.12
1993.73,9.14,-119.01,21502.50
1997.67,8.79,-89.37,21502.50
2002.77,8.44,-68.93,21502.50
2006.56,8.09,-92.66,21277.50
2010.68,7.73,-85.37,21277.50
2014.54,7.38,-91.01,21277.50
2018.57,7.03,-87.30,21277.50
2023.74,6.68,-67.93,21108.75
