time,theta_b,dtheta_b,dtheta_w
5.25,0.00,0.00,529.73,0.00
10.33,-0.20,-36.66,1025.19,-1.00
15.40,-0.31,-19.39,599.60,-1.00
20.48,-0.52,-26.34,694.88,-1.00
25.55,-0.63,-21.85,1101.41,-1.00
30.62,-0.73,-25.12,35354.88,-1.00
35.70,-0.84,-21.58,15028.30,-1.00
40.77,-0.94,-18.00,1047.42,-1.00
46.52,-1.05,-25.97,19906.68,-1.00
51.60,-1.15,-26.03,1063.30,-1.00
56.67,-1.36,-24.01,1034.71,-1.00
75.08,-1.36,-24.01,647.24,-1.00
80.15,-1.57,-23.79,647.24,-1.00
85.21,-1.67,-23.88,647.24,-1.00
101.73,-1.77,-24.86,647.24,-1.00
106.80,-1.88,-5.92,647.24,-1.00
111.87,-1.98,-24.62,647.24,-1.00
128.40,-2.08,-25.55,647.24,-1.00
133.47,-2.28,-24.47,647.24,-1.00
138.54,-2.38,-24.96,647.24,-1.00
155.07,-2.48,-25.06,647.24,-1.00
160.13,-2.58,-5.86,647.24,-1.00
165.20,-2.69,-23.33,647.24,-1.00
181.73,-2.78,-23.12,647.24,-1.00
186.80,-2.98,-23.31,647.24,-1.00
191.88,-3.08,-23.17,647.24,-1.00
208.41,-3.18,-5.73,647.24,-1.00
213.48,-3.18,-5.73,647.24,-1.00
218.55,-3.18,-5.73,647.24,-1.00
235.06,-3.18,-5.73,647.24,-1.00
240.14,-3.18,-5.73,647.24,-1.00
245.21,-3.18,-5.73,647.24,-1.00
260.88,-3.18,-5.73,647.24,-1.00
265.95,-3.18,-5.73,647.24,-1.00
271.01,-4.76,-25.18,647.24,-1.00
288.41,-4.76,-25.18,647.24,-1.00
293.48,-4.95,-21.86,647.24,-1.00
298.56,-5.04,-21.91,647.24,0.00
315.08,-5.04,-21.91,647.24,0.00
320.17,-5.23,-22.26,647.24,-1.00
325.24,-5.32,-23.17,647.24,-1.00
341.75,-5.41,-5.18,647.24,-1.00
346.83,-5.50,-21.47,647.24,-1.00
351.90,-5.60,-21.37,647.24,-1.00
368.42,-5.69,-21.17,647.24,-1.00
373.50,-5.78,-5.22,647.24,-1.00
378.57,-5.87,-21.10,647.24,-1.00
395.07,-5.96,-21.14,647.24,-1.00
400.15,-6.14,-20.88,647.24,-1.00
405.22,-6.23,-21.13,647.24,-1.00
421.75,-6.32,-5.13,647.24,-1.00
426.83,-6.41,-21.15,647.24,-1.00
431.91,-6.50,-22.07,647.24,-1.00
448.40,-6.59,-22.27,647.24,-1.00
453.48,-6.77,-20.69,647.24,-1.00
458.56,-6.85,-20.51,647.24,-1.00
475.09,-6.94,-5.08,647.24,-1.00
480.16,-7.03,-20.26,647.24,-1.00
485.24,-7.12,-20.11,647.24,-1.00
501.75,-7.20,-20.51,647.24,-1.00
506.83,-7.29,-4.97,647.24,-1.00
511.91,-7.38,-18.29,647.24,-1.00
528.42,-7.46,-19.25,647.24,-1.00
533.49,-7.55,-4.82,647.24,-1.00
538.57,-7.63,-19.08,647.24,-1.00
555.09,-7.72,-19.48,647.24,-1.00
560.16,-7.80,-4.72,647.24,-1.00
565.24,-7.89,-17.53,647.24,-1.00
581.75,-7.89,-17.53,647.24,-1.00
586.82,-7.97,-4.74,647.24,-1.00
591.90,-8.14,-17.83,647.24,-1.00
608.42,-8.14,-17.83,647.24,-1.00
613.50,-8.31,-18.84,647.24,-1.00
618.57,-8.39,-18.68,647.24,-1.00
635.08,-8.39,-18.68,647.24,-1.00
640.16,-8.48,-4.70,647.24,-1.00
645.24,-8.64,-17.97,647.24,-1.00
661.75,-8.64,-17.97,647.24,-1.00
666.83,-8.73,-4.81,647.24,-1.00
671.90,-8.81,-16.97,647.24,-1.00
688.42,-8.89,-17.01,647.24,-1.00
693.49,-8.97,-4.83,647.24,-1.00
698.57,-9.05,-16.83,647.24,-1.00
715.08,-9.14,-16.76,647.24,-1.00
720.16,-9.22,-4.79,647.24,-1.00
725.23,-9.22,-4.79,647.24,-1.00
741.74,-9.22,-4.79,647.24,-1.00
746.81,-9.22,-4.79,647.24,-1.00
751.89,-9.22,-4.79,647.24,-1.00
768.07,-9.22,-4.79,647.24,-1.00
773.15,-9.22,-4.79,647.24,-1.00
778.22,-12.26,-50.37,647.24,-1.00
795.08,-12.33,-13.82,647.24,-1.00
800.16,-12.40,-3.96,647.24,-1.00
805.23,-12.47,-17.60,647.24,-1.00
821.74,-12.54,-17.69,647.24,-1.00
826.82,-12.68,-17.34,647.24,-1.00
831.89,-12.76,-17.03,647.24,-1.00
848.41,-12.83,-16.19,647.24,-1.00
853.49,-12.90,-4.01,647.24,-1.00
858.57,-12.96,-15.91,647.24,-1.00
875.08,-13.03,-15.95,647.24,-1.00
880.16,-13.10,-3.94,647.24,-1.00
885.23,-13.17,-16.09,647.24,-1.00
901.74,-13.24,-16.24,647.24,-1.00
906.82,-13.38,-15.73,647.24,-1.00
911.89,-13.44,-16.48,647.24,-1.00
928.42,-13.51,-16.93,647.24,-1.00
933.50,-13.58,-3.91,647.24,-1.00
938.57,-13.65,-15.72,647.24,-1.00
955.07,-13.71,-15.72,647.24,-1.00
960.15,-13.85,-15.83,647.24,-1.00
965.22,-13.91,-15.72,647.24,-1.00
981.75,-13.98,-3.80,647.24,-1.00
986.83,-14.05,-15.23,647.24,-1.00
991.90,-14.11,-15.22,647.24,-1.00
1008.41,-14.18,-16.02,647.24,-1.00
1013.49,-14.24,-3.86,647.24,-1.00
1018.57,-14.31,-15.45,647.24,-1.00
1035.09,-14.37,-16.10,647.24,-1.00
1040.16,-14.44,-4.09,647.24,-1.00
1045.24,-14.44,-4.09,647.24,-1.00
1061.74,-14.44,-4.09,647.24,-1.00
1066.81,-14.44,-4.09,647.24,-1.00
1071.89,-14.44,-4.09,647.24,-1.00
1088.12,-14.44,-4.09,647.24,-1.00
1093.20,-14.44,-4.09,647.24,-1.00
1098.28,-15.81,-22.46,647.24,-1.00
1115.08,-15.81,-22.46,647.24,-1.00
1120.16,-15.93,-14.56,647.24,-1.00
1125.23,-15.99,-14.65,647.24,-1.00
1141.75,-16.05,-14.80,647.24,-1.00
1146.82,-16.11,-3.42,647.24,-1.00
1151.90,-16.17,-13.85,647.24,-1.00
1168.42,-16.23,-14.90,647.24,-1.00
