time,theta_b,dtheta_b,dtheta_w
9.70,0.99,-5.46,-37820.60
15.05,0.97,-5.71,-37581.38
20.44,0.95,-5.55,-37409.01
25.82,0.90,-5.19,-37321.53
31.20,0.88,-5.07,-37266.37
36.56,0.86,-5.02,-37215.85
42.08,0.82,-4.42,-37169.42
47.62,0.81,-3.86,-37154.16
53.11,0.79,-3.99,-37139.39
58.62,0.76,-3.39,-37112.54
64.11,0.75,-3.52,-37120.27
69.62,0.73,-3.78,-37132.93
75.12,0.70,-4.03,-37117.87
80.62,0.68,-4.19,-37099.38
86.12,0.66,-4.51,-37104.16
91.73,0.63,-4.16,-37113.36
97.23,0.61,-4.66,-37111.59
102.73,0.59,-4.71,-37105.25
108.24,0.57,-4.46,-37120.23
113.73,0.54,-3.94,-37105.33
119.24,0.52,-3.86,-37095.20
124.75,0.50,-3.72,-37100.73
130.26,0.47,-3.65,-37117.04
135.77,0.46,-3.83,-37106.32
141.27,0.44,-3.69,-37101.21
146.76,0.41,-3.91,-37098.77
152.24,0.40,-4.12,-37111.90
157.74,0.38,-4.26,-37089.66
163.24,0.34,-4.74,-37101.58
168.73,0.32,-5.14,-37116.94
174.30,0.30,-5.21,-37104.00
179.79,0.25,-5.20,-37089.48
185.27,0.23,-5.14,-37101.47
190.76,0.21,-5.48,-37113.62
196.26,0.16,-5.48,-37106.95
201.74,0.14,-5.89,-37099.44
207.26,0.11,-5.24,-37098.01
212.76,0.09,-5.26,-37108.10
218.24,0.07,-5.35,-37086.81
223.74,0.04,-4.74,-37099.94
229.29,-0.01,-5.01,-37116.61
234.79,-0.03,-4.41,-37104.17
240.23,-0.05,-4.92,-37091.84
245.73,-0.08,-4.20,-37098.35
251.24,-0.10,-4.59,-37115.16
256.73,-0.12,-4.07,-37099.28
262.23,-0.14,-4.68,-37099.57
267.68,-0.16,-4.13,-37097.85
273.18,-0.19,-4.74,-37104.79
278.72,-0.21,-4.22,-37088.24
284.26,-0.23,-4.73,-37099.88
289.77,-0.28,-5.13,-37117.05
295.26,-0.30,-4.54,-37106.21
300.73,-0.33,-5.17,-37092.41
306.24,-0.35,-4.12,-37098.50
311.74,-0.37,-4.66,-37105.27
317.23,-0.39,-4.02,-37097.39
322.77,-0.41,-4.40,-37100.21
328.28,-0.43,-3.81,-37100.24
333.78,-0.45,-4.04,-37106.98
339.26,-0.49,-3.78,-37086.53
344.77,-0.51,-3.62,-37097.35
350.28,-0.53,-4.13,-37109.64
355.76,-0.55,-3.72,-37105.99
361.15,-0.57,-4.47,-37093.38
366.52,-0.59,-3.99,-37100.77
371.89,-0.61,-3.96,-37102.96
377.27,-0.63,-4.38,-37097.94
382.65,-0.65,-4.28,-37097.61
388.03,-0.67,-3.59,-37098.71
393.39,-0.69,-3.53,-37106.37
398.77,-0.71,-3.79,-37086.86
404.12,-0.72,-3.25,-37097.00
409.52,-0.74,-3.19,-37114.92
414.91,-0.77,-3.30,-37103.01
420.29,-0.78,-2.95,-37092.50
425.66,-0.80,-3.19,-37097.85
431.08,-0.82,-3.02,-37109.80
436.45,-0.83,-3.55,-37103.76
441.88,-0.85,-3.18,-37098.36
447.26,-0.87,-3.59,-37099.03
452.67,-0.88,-3.31,-37103.41
458.03,-0.90,-3.62,-37107.22
463.41,-0.92,-3.30,-37099.14
468.78,-0.94,-3.67,-37112.77
474.16,-0.95,-3.01,-37103.07
479.53,-0.97,-3.29,-37086.48
484.91,-1.00,-3.25,-37097.50
490.29,-1.01,-2.76,-37109.70
495.65,-1.03,-2.98,-37104.25
501.03,-1.04,-2.79,-37087.82
506.39,-1.05,-2.97,-37106.57
511.77,-1.07,-2.55,-37099.42
517.14,-1.08,-2.75,-37101.39
522.50,-1.09,-2.50,-37097.84
527.89,-1.11,-2.65,-37095.60
533.25,-1.12,-2.54,-37102.40
538.62,-1.13,-2.36,-37086.82
543.99,-1.14,-2.26,-37100.45
549.37,-1.16,-2.61,-37115.38
554.73,-1.18,-2.63,-37103.57
560.15,-1.19,-2.15,-37089.02
565.51,-1.20,-2.35,-37098.14
570.88,-1.21,-2.15,-37113.49
576.25,-1.22,-2.27,-37103.19
581.72,-1.24,-2.18,-37098.02
587.07,-1.25,-2.41,-37097.38
592.45,-1.26,-2.34,-37107.82
597.81,-1.27,-2.55,-37086.40
603.18,-1.29,-2.68,-37100.08
608.52,-1.30,-2.73,-37115.46
613.87,-1.31,-2.88,-37102.40
619.23,-1.33,-2.59,-37089.69
624.60,-1.34,-2.67,-37101.71
629.96,-1.37,-2.78,-37114.96
635.33,-1.38,-2.21,-37105.12
641.61,-1.39,-2.47,-37095.06
652.21,-1.41,-2.18,-37104.71
657.57,-1.42,-2.10,-37106.80
662.93,-1.43,-2.24,-37100.62
668.31,-1.44,-1.77,-37114.47
673.67,-1.45,-2.15,-37104.01
679.04,-1.46,-2.10,-37091.84
684.42,-1.48,-2.62,-37097.82
689.84,-1.50,-2.93,-37110.46
695.18,-1.52,-2.70,-37105.41
700.54,-1.53,-3.06,-37090.11
705.92,-1.54,-2.63,-37093.76
711.28,-1.56,-2.86,-37105.58
716.66,-1.57,-2.50,-37105.23
722.02,-1.58,-2.32,-37097.44
727.30,-1.59,-2.48,-37094.96
732.59,-1.61,-2.33,-37102.38
737.87,-1.62,-2.36,-37085.75
743.15,-1.63,-2.03,-37098.68
748.42,-1.64,-2.15,-37112.32
753.70,-1.65,-2.14,-37102.93
758.98,-1.66,-2.48,-37090.68
764.26,-1.67,-2.18,-37098.48
769.54,-1.68,-2.47,-37113.62
774.82,-1.70,-2.20,-37106.72
780.10,-1.71,-2.21,-37086.07
785.39,-1.73,-2.54,-37096.27
790.67,-1.74,-2.18,-37106.41
795.95,-1.76,-2.38,-37104.88
801.23,-1.77,-1.93,-37092.82
806.51,-1.78,-2.27,-37094.08
811.75,-1.79,-2.04,-37110.39
817.03,-1.80,-1.91,-37090.04
822.31,-1.81,-2.37,-37099.83
827.59,-1.82,-2.02,-37108.08
832.88,-1.83,-2.33,-37103.24
838.16,-1.84,-2.10,-37098.51
843.44,-1.85,-2.44,-37102.14
848.72,-1.86,-2.18,-37117.17
854.00,-1.88,-2.48,-37105.77
859.28,-1.89,-2.43,-37085.48
864.56,-1.90,-2.77,-37100.81
869.84,-1.91,-2.59,-37114.42
875.08,-1.93,-2.77,-37105.07
880.36,-1.94,-2.54,-37094.60
885.65,-1.97,-2.43,-37099.02
890.93,-1.98,-2.75,-37106.91
896.21,-1.99,-2.26,-37103.71
901.49,-2.00,-2.41,-37099.77
906.77,-2.01,-2.10,-37101.97
912.05,-2.02,-2.26,-37102.61
917.33,-2.03,-2.13,-37099.85
922.61,-2.05,-2.38,-37095.63
927.90,-2.06,-2.64,-37115.03
933.18,-2.07,-2.18,-37099.71
938.42,-2.08,-2.43,-37088.27
943.70,-2.09,-2.41,-37099.37
948.98,-2.11,-2.14,-37115.57
954.26,-2.12,-2.65,-37102.32
959.54,-2.13,-2.44,-37090.23
964.82,-2.14,-2.79,-37096.37
970.10,-2.16,-2.34,-37112.83
975.39,-2.17,-2.84,-37104.86
980.67,-2.20,-3.22,-37086.93
985.95,-2.21,-2.77,-37100.23
991.23,-2.23,-2.97,-37103.72
996.51,-2.24,-2.59,-37103.26
1001.75,-2.25,-2.72,-37096.46
1007.03,-2.27,-2.35,-37096.22
1012.31,-2.28,-2.70,-37101.50
1017.59,-2.29,-2.45,-37085.92
1022.88,-2.30,-2.55,-37099.29
1028.16,-2.32,-2.10,-37112.84
1033.44,-2.33,-2.25,-37101.97
1038.72,-2.34,-1.82,-37089.00
1044.00,-2.35,-2.30,-37100.12
1049.28,-2.36,-1.90,-37109.37
1054.56,-2.37,-2.39,-37103.25
1059.84,-2.38,-2.03,-37087.92
1065.08,-2.39,-2.77,-37098.61
1070.36,-2.40,-2.36,-37107.41
1075.65,-2.43,-2.60,-37103.72
1080.93,-2.44,-2.37,-37091.69
1086.21,-2.45,-2.76,-37096.53
1091.49,-2.47,-2.31,-37106.10
1096.77,-2.48,-2.18,-37078.66
1102.05,-2.49,-2.18,-37091.14
1107.33,-2.50,-1.91,-37106.71
1112.61,-2.51,-2.10,-37101.70
1117.90,-2.52,-1.69,-37094.90
1123.18,-2.53,-1.83,-37098.23
1128.42,-2.53,-1.62,-37112.45
1133.70,-2.54,-1.74,-37103.51
1138.98,-2.55,-1.52,-37084.86
1144.26,-2.56,-1.83,-37097.82
1149.54,-2.57,-1.79,-37113.81
1154.82,-2.58,-2.00,-37104.25
1160.10,-2.59,-1.87,-37090.45
1165.39,-2.60,-2.05,-37097.16
1170.67,-2.62,-2.01,-37112.88
1175.95,-2.63,-1.70,-37104.28
1181.23,-2.63,-1.96,-37098.09
1186.51,-2.64,-1.56,-37101.20
1191.75,-2.65,-1.78,-37102.02
1197.03,-2.66,-1.58,-37105.65
1202.31,-2.67,-1.92,-37094.81
1207.59,-2.68,-1.81,-37111.98
1212.88,-2.69,-1.88,-37099.96
1218.16,-2.70,-1.56,-37086.13
1223.44,-2.70,-1.72,-37100.34
1228.72,-2.71,-1.51,-37108.88
1234.00,-2.72,-1.48,-37101.07
1239.28,-2.73,-1.79,-37086.48
1244.56,-2.73,-1.29,-37095.87
1249.84,-2.74,-1.44,-37112.59
1255.08,-2.75,-1.22,-37099.64
1260.37,-2.75,-1.06,-37096.11
1265.65,-2.76,-0.91,-37095.86
1270.93,-2.76,-1.21,-37104.31
1276.21,-2.78,-1.51,-37106.81
1281.49,-2.78,-1.34,-37090.73
1286.77,-2.79,-1.23,-37111.30
1292.05,-2.80,-1.50,-37100.77
1297.33,-2.81,-1.70,-37091.62
1302.62,-2.81,-1.26,-37097.98
1307.90,-2.82,-1.58,-37107.68
1313.18,-2.83,-1.31,-37102.19
1318.42,-2.83,-1.55,-37088.80
1323.70,-2.84,-1.41,-37102.20
1328.98,-2.85,-1.68,-37113.48
1334.26,-2.86,-1.35,-37098.27
1339.54,-2.86,-1.65,-37084.34
1344.82,-2.87,-1.42,-37095.41
1350.10,-2.88,-1.41,-37106.57
1355.39,-2.88,-1.21,-37104.96
1360.67,-2.89,-1.27,-37088.49
1365.95,-2.90,-1.24,-37095.77
1371.23,-2.90,-1.24,-37102.60
1376.51,-2.92,-1.38,-37096.62
1381.75,-2.92,-0.94,-37100.19
1387.03,-2.93,-1.16,-37100.79
1392.31,-2.93,-0.92,-37102.19
1397.59,-2.94,-1.19,-37087.45
1402.88,-2.94,-1.13,-37097.98
1408.16,-2.95,-1.52,-37112.32
1413.44,-2.96,-1.30,-37100.09
1418.72,-2.96,-1.28,-37086.35
1424.00,-2.97,-1.28,-37095.11
1429.28,-2.98,-1.43,-37108.19
1434.56,-2.98,-1.47,-37102.34
1439.84,-2.99,-1.51,-37086.40
1445.08,-3.00,-1.26,-37097.38
1450.36,-3.00,-1.27,-37111.98
1455.65,-3.01,-1.24,-37102.39
1460.93,-3.02,-1.48,-37096.67
1466.21,-3.03,-1.37,-37097.33
1471.49,-3.04,-1.05,-37104.08
1476.77,-3.04,-1.13,-37085.87
1482.05,-3.05,-1.11,-37098.31
1487.33,-3.05,-1.29,-37110.42
1492.61,-3.06,-1.19,-37101.73
