time,theta_b,dtheta_b,dtheta_w
5.07,0.00,0.00,-25.10,0.00
10.11,1.14,216.95,-46.35,0.00
15.18,1.04,-19.32,-78.13,0.00
20.23,0.95,-18.24,-108.11,0.00
25.30,0.75,-24.41,-123.93,0.00
30.37,0.65,-25.92,-144.61,-1.00
35.44,0.54,-28.10,-207.27,-1.00
40.51,0.27,-34.70,-187.81,-1.00
45.56,0.13,-36.53,-204.75,-1.00
50.63,-0.03,-38.75,-198.77,-1.00
55.70,-0.19,-38.38,-196.81,-1.00
60.77,-0.50,-38.24,-207.40,-1.00
65.84,-0.65,-37.07,-163.95,-1.00
70.91,-0.79,-35.10,-142.40,-1.00
76.00,-0.92,-33.12,-159.21,-1.00
81.07,-1.16,-28.58,-154.41,-1.00
86.13,-1.27,-25.63,-144.11,-1.00
91.20,-1.36,-23.55,-139.82,-1.00
96.27,-1.45,-21.57,-119.95,-1.00
101.34,-1.61,-18.75,-115.74,-1.00
106.41,-1.68,-17.74,-113.34,-1.00
111.48,-1.75,-18.41,-126.32,-1.00
116.55,-1.83,-19.28,-104.72,-1.00
121.62,-1.99,-19.94,-102.23,-1.00
126.69,-2.07,-20.35,-94.15,-1.00
131.76,-2.15,-18.98,-66.48,-1.00
136.83,-2.29,-17.34,-70.64,-1.00
141.90,-2.36,-18.04,-77.21,-1.00
146.96,-2.44,-19.26,-69.68,-1.00
152.03,-2.52,-20.94,-71.99,-1.00
157.11,-2.71,-23.92,-70.04,-1.00
162.18,-2.81,-24.83,-62.84,-1.00
167.24,-2.91,-25.44,-56.80,-1.00
172.32,-3.01,-25.40,-69.33,-1.00
177.39,-3.11,-24.57,-60.18,-1.00
182.46,-3.31,-21.63,-66.83,-1.00
187.49,-3.41,-18.67,-70.35,-1.00
192.56,-3.50,-17.58,-68.48,-1.00
197.62,-3.58,-16.03,-64.54,-1.00
202.65,-3.65,-16.00,-64.44,-1.00
207.72,-3.72,-12.42,-63.10,-1.00
212.75,-3.77,-10.73,-72.42,-1.00
217.82,-3.82,-9.31,-70.33,-1.00
222.84,-3.86,-8.15,-65.72,-1.00
227.86,-3.90,-7.24,-63.52,-1.00
232.91,-3.93,-7.21,-65.25,-1.00
237.98,-3.96,-5.83,-56.41,-1.00
243.05,-3.99,-5.98,-74.92,-1.00
248.12,-4.03,-6.93,-53.96,-1.00
253.19,-4.07,-7.86,-63.32,-1.00
258.26,-4.12,-10.81,-69.61,-1.00
263.33,-4.18,-11.71,-69.11,-1.00
268.40,-4.25,-13.99,-54.72,-1.00
273.47,-4.33,-15.68,-75.28,-1.00
278.54,-4.42,-19.50,-70.46,0.00
283.61,-4.51,-18.46,-62.18,-1.00
288.67,-4.61,-18.99,-62.39,0.00
293.74,-4.71,-18.06,-6.31,0.00
298.81,-4.80,-19.89,-10.34,0.00
303.88,-4.88,-16.66,-16.31,0.00
308.95,-4.96,-15.46,-19.20,0.00
314.03,-5.04,-14.35,8.52,0.00
319.11,-5.10,-14.49,-19.46,0.00
324.19,-5.16,-11.93,-12.08,-1.00
329.26,-5.22,-11.25,-8.61,-1.00
334.34,-5.28,-11.15,-15.23,-1.00
339.41,-5.33,-9.91,-18.38,-1.00
344.49,-5.38,-11.70,-8.46,-1.00
349.57,-5.45,-12.72,-16.96,-1.00
354.64,-5.53,-16.33,3.48,-1.00
359.72,-5.63,-19.70,-14.15,-1.00
364.75,-5.74,-21.06,-18.72,-1.00
369.80,-5.85,-23.62,-4.67,-1.00
374.86,-5.95,-19.36,44.55,-1.00
379.93,-6.03,-16.93,24.71,-1.00
