time,theta_b,dtheta_b,dtheta_w
1.24,0.00,0.00,0.00,0.00
2.38,0.00,0.00,0.00,0.00
3.52,0.00,0.00,0.00,0.00
4.68,0.79,180.55,-166.87,0.00
5.82,0.79,180.55,-166.87,0.00
6.96,0.79,180.55,-166.87,0.00
8.10,0.79,180.55,-168.75,0.00
9.24,0.78,-1.43,-168.75,0.00
10.38,0.78,-1.43,-168.75,0.00
11.52,0.78,-1.43,-168.75,0.00
12.66,0.78,-1.43,-166.87,0.00
13.80,0.78,-1.58,-166.87,0.00
14.94,0.78,-1.58,-166.87,0.00
16.08,0.78,-1.58,-168.75,0.00
17.22,0.77,-1.82,-168.75,0.00
18.36,0.77,-1.82,-168.75,0.00
19.50,0.77,-1.82,-168.75,0.00
20.65,0.77,-1.82,-172.50,0.00
21.79,0.76,-1.68,-172.50,0.00
22.93,0.76,-1.68,-172.50,0.00
24.07,0.76,-1.68,-170.62,0.00
25.21,0.76,-1.68,-170.62,0.00
26.35,0.76,-1.51,-170.62,0.00
27.49,0.76,-1.51,-170.62,0.00
28.63,0.76,-1.51,-166.87,0.00
29.77,0.75,-1.74,-166.87,0.00
30.93,0.75,-1.74,-166.87,0.00
32.07,0.75,-1.74,-168.75,0.00
33.21,0.75,-1.74,-168.75,0.00
34.35,0.74,-1.64,-168.75,0.00
35.49,0.74,-1.64,-168.75,0.00
36.63,0.74,-1.64,-168.75,0.00
37.77,0.74,-1.51,-168.75,0.00
38.91,0.74,-1.51,-168.75,0.00
40.05,0.74,-1.51,-168.75,0.00
41.19,0.74,-1.51,-168.75,0.00
42.33,0.73,-1.69,-168.75,0.00
43.47,0.73,-1.69,-168.75,0.00
44.61,0.73,-1.69,-168.75,0.00
45.75,0.73,-1.69,-168.75,0.00
46.89,0.72,-1.79,-168.75,0.00
48.03,0.72,-1.79,-174.37,0.00
49.18,0.72,-1.79,-174.37,0.00
50.32,0.71,-1.65,-174.37,0.00
51.46,0.71,-1.65,-174.37,0.00
52.60,0.71,-1.65,-170.62,0.00
53.74,0.71,-1.65,-170.62,0.00
54.88,0.71,-1.52,-170.62,0.00
56.02,0.71,-1.52,-174.37,0.00
57.16,0.71,-1.52,-174.37,0.00
58.30,0.71,-1.52,-174.37,0.00
59.44,0.70,-1.43,-174.37,0.00
60.58,0.70,-1.43,-166.87,0.00
61.72,0.70,-1.43,-166.87,0.00
62.86,0.70,-1.72,-166.87,0.00
64.01,0.70,-1.72,-168.75,0.00
65.15,0.70,-1.72,-168.75,0.00
66.29,0.70,-1.72,-168.75,0.00
67.40,0.69,-1.57,-168.75,0.00
68.54,0.69,-1.57,-168.75,0.00
69.68,0.69,-1.57,-168.75,0.00
70.82,0.69,-1.57,-168.75,0.00
71.96,0.68,-1.54,-166.87,0.00
73.10,0.68,-1.54,-166.87,0.00
74.24,0.68,-1.54,-166.87,0.00
75.39,0.68,-1.62,-166.87,0.00
76.53,0.68,-1.62,-174.37,0.00
77.67,0.68,-1.62,-174.37,0.00
78.81,0.68,-1.62,-174.37,0.00
79.95,0.67,-1.53,-166.87,0.00
81.09,0.67,-1.53,-166.87,0.00
82.23,0.67,-1.53,-166.87,0.00
83.37,0.66,-1.41,-166.87,0.00
84.51,0.66,-1.41,-168.75,0.00
85.65,0.66,-1.41,-168.75,0.00
86.79,0.66,-1.41,-168.75,0.00
87.93,0.66,-1.75,-170.62,0.00
89.07,0.66,-1.75,-170.62,0.00
90.21,0.66,-1.75,-170.62,0.00
91.35,0.66,-1.75,-170.62,0.00
92.49,0.65,-1.61,-172.50,0.00
93.63,0.65,-1.61,-172.50,0.00
94.77,0.65,-1.61,-172.50,0.00
95.91,0.64,-1.70,-172.50,0.00
97.05,0.64,-1.70,-170.62,0.00
98.19,0.64,-1.70,-170.62,0.00
99.33,0.64,-1.70,-170.62,0.00
100.47,0.63,-1.80,-170.62,0.00
101.61,0.63,-1.80,-170.62,0.00
102.76,0.63,-1.80,-170.62,0.00
103.90,0.63,-1.80,-172.50,0.00
105.04,0.63,-1.58,-172.50,0.00
106.18,0.63,-1.58,-172.50,0.00
107.33,0.63,-1.58,-172.50,0.00
108.47,0.62,-1.69,-170.62,0.00
109.61,0.62,-1.69,-170.62,0.00
110.75,0.62,-1.69,-170.62,0.00
111.90,0.62,-1.69,-166.87,0.00
113.04,0.61,-1.83,-166.87,0.00
114.18,0.61,-1.83,-166.87,0.00
115.32,0.61,-1.83,-170.62,0.00
116.46,0.61,-1.83,-170.62,0.00
117.60,0.61,-1.50,-170.62,0.00
118.74,0.61,-1.50,-170.62,0.00
119.88,0.61,-1.50,-168.75,0.00
121.03,0.60,-1.48,-168.75,0.00
122.17,0.60,-1.48,-168.75,0.00
123.31,0.60,-1.48,-168.75,0.00
124.45,0.60,-1.48,-168.75,0.00
125.59,0.60,-1.28,-168.75,0.00
126.73,0.60,-1.28,-168.75,0.00
127.87,0.60,-1.28,-170.62,0.00
