time,theta_b,dtheta_b,dtheta_w
14.55,0.00,0.00,32.31,0.00
24.83,0.00,nan,6.12,0.00
35.12,0.00,nan,44.92,0.00
45.40,0.00,nan,53.03,0.00
55.68,0.00,nan,47.94,0.00
65.97,0.00,nan,43.79,0.00
76.25,0.00,nan,49.71,0.00
86.53,0.00,nan,48.61,0.00
96.81,0.00,nan,43.66,0.00
107.09,0.00,nan,44.19,0.00
117.36,0.00,0.00,41.64,0.00
127.64,0.00,nan,57.94,0.00
137.92,0.00,nan,42.18,0.00
148.20,0.00,nan,4.03,0.00
158.48,0.00,nan,11.38,0.00
168.75,0.00,nan,-43.56,0.00
179.03,0.00,nan,-87.12,0.00
189.31,0.00,nan,-131.60,0.00
199.59,0.00,nan,-227.02,0.00
209.87,0.00,nan,-338.11,0.00
220.14,0.00,nan,-362.35,0.00
230.42,0.00,nan,-455.35,0.00
240.70,0.00,nan,-553.70,0.00
250.98,0.00,nan,-656.56,0.00
261.26,0.00,nan,-742.82,0.00
271.53,0.00,nan,-821.42,0.00
281.81,0.00,nan,-955.42,0.00
292.09,0.00,nan,-1003.08,0.00
302.37,0.00,nan,-1148.69,0.00
312.65,0.00,nan,-1250.70,0.00
322.92,0.00,nan,-1390.16,0.00
333.20,0.00,nan,-1521.12,0.00
343.48,0.00,nan,-1599.96,0.00
353.75,0.00,nan,-1756.60,0.00
364.03,0.00,0.00,-1916.83,0.00
374.31,0.00,nan,-2029.75,0.00
384.59,0.00,nan,-2199.82,0.00
394.86,0.00,nan,-2335.63,0.00
405.14,0.00,nan,-2466.98,0.00
415.42,0.00,nan,-2633.75,0.00
425.70,0.00,nan,-2763.46,0.00
436.00,0.00,0.00,-2897.01,0.00
446.30,0.00,nan,-3119.91,0.00
456.58,0.00,nan,-3279.82,0.00
466.85,0.00,nan,-3454.71,0.00
477.10,0.00,nan,-3677.70,0.00
487.38,0.00,nan,-3848.48,0.00
497.65,0.00,nan,-4008.78,0.00
507.93,0.00,nan,-4221.04,0.00
518.21,0.00,nan,-4391.17,0.00
528.48,0.00,nan,-4610.55,0.00
538.76,0.00,nan,-4785.43,0.00
549.04,0.00,nan,-5024.08,0.00
559.32,0.00,nan,-5222.55,0.00
569.59,0.00,nan,-5437.12,0.00
579.87,0.00,nan,-5677.95,0.00
590.15,0.00,nan,-5847.60,0.00
600.43,0.00,nan,-6087.81,0.00
610.71,0.00,nan,-6339.98,0.00
620.98,0.00,nan,-6601.37,0.00
631.27,0.00,nan,-6820.98,0.00
641.54,0.00,nan,-7059.02,0.00
651.82,0.00,nan,-7295.47,0.00
662.10,0.00,0.00,-7516.80,0.00
672.38,0.00,nan,-7799.92,0.00
682.66,0.00,nan,-7997.09,0.00
692.94,0.00,nan,-8301.54,0.00
703.21,0.00,nan,-8523.08,0.00
713.49,0.00,nan,-8796.67,0.00
723.77,0.00,0.00,-9085.61,0.00
734.04,0.00,nan,-9328.62,0.00
744.32,0.00,nan,-9637.24,0.00
754.59,0.00,nan,-9881.58,0.00
764.87,0.00,nan,-10112.68,0.00
775.15,0.00,nan,-10432.52,0.00
785.43,0.00,nan,-10688.24,0.00
795.70,0.00,nan,-11004.25,0.00
805.98,0.00,nan,-11263.42,0.00
816.26,0.00,0.00,-11551.44,0.00
826.53,0.00,nan,-11826.00,0.00
836.81,0.00,nan,-12165.98,0.00
847.09,0.00,nan,-12395.39,0.00
857.36,0.00,nan,-12730.54,0.00
867.64,0.00,0.00,-13007.14,0.00
877.92,0.00,nan,-13328.88,0.00
888.19,0.00,nan,-13613.01,0.00
898.47,0.00,nan,-13908.98,0.00
908.75,0.00,nan,-14213.95,0.00
919.02,0.00,nan,-14499.57,0.00
929.30,0.00,nan,-14802.69,0.00
939.58,0.00,nan,-15132.55,0.00
949.85,0.00,nan,-15419.41,0.00
960.13,0.00,0.00,-15763.95,0.00
970.41,0.00,nan,-16037.54,0.00
980.69,0.00,nan,-16308.85,0.00
990.96,0.00,nan,-16640.34,0.00
1001.24,0.00,nan,-16981.24,0.00
1011.52,0.00,nan,-17249.18,0.00
1021.79,0.00,nan,-17584.18,0.00
1032.07,0.00,nan,-17885.04,0.00
1042.35,0.00,nan,-18205.49,0.00
1052.62,0.00,0.00,-18520.51,0.00
1062.90,0.00,nan,-18848.17,0.00
1073.18,0.00,nan,-19165.66,0.00
1083.46,0.00,nan,-19495.88,0.00
1093.73,0.00,nan,-19821.24,0.00
1104.01,0.00,nan,-20096.36,0.00
1114.29,0.00,nan,-20463.15,0.00
1124.56,0.00,nan,-20789.00,0.00
1134.84,0.00,nan,-21074.89,0.00
1145.12,0.00,nan,-21430.77,0.00
1155.39,0.00,nan,-21731.88,0.00
1165.67,0.00,nan,-22007.60,0.00
1175.95,0.00,nan,-22369.29,0.00
1186.22,0.00,nan,-22678.80,0.00
1196.50,0.00,nan,-23015.48,0.00
1206.78,0.00,nan,-23321.97,0.00
1217.05,0.00,nan,-23658.95,0.00
1227.33,0.00,nan,-23923.13,0.00
1237.61,0.00,nan,-24297.36,0.00
1247.88,0.00,nan,-24569.51,0.00
1258.16,0.00,nan,-24918.79,0.00
1268.44,0.00,nan,-25197.41,0.00
1278.71,0.00,nan,-25502.37,0.00
1289.01,0.00,nan,-25837.64,0.00
1299.29,0.00,0.00,-26149.31,0.00
1309.56,0.00,nan,-26474.56,0.00
1319.84,0.00,nan,-26760.37,0.00
1330.12,0.00,nan,-27102.49,0.00
1340.40,0.00,nan,-27362.39,0.00
1350.68,0.00,nan,-27689.36,0.00
1360.95,0.00,nan,-27990.40,0.00
1371.23,0.00,0.00,-28293.55,0.00
1381.52,0.00,0.00,-28564.56,0.00
1391.81,0.00,nan,-28893.64,0.00
1402.09,0.00,nan,-29207.27,0.00
1412.37,0.00,nan,-29504.48,0.00
1422.64,0.00,nan,-29794.68,0.00
1432.92,0.00,nan,-30071.26,0.00
1443.21,0.00,0.00,-30322.85,0.00
1453.51,0.00,nan,-30682.23,0.00
1463.77,0.00,nan,-30954.85,0.00
1474.04,0.00,nan,-31236.57,0.00
1484.32,0.00,nan,-31530.32,0.00
1494.60,0.00,0.00,-31837.29,0.00
1504.88,0.00,nan,-32066.78,0.00
1515.16,0.00,nan,-32362.24,0.00
1525.44,0.00,nan,-32624.72,0.00
1535.71,0.00,nan,-32905.16,0.00
1545.99,0.00,nan,-33181.07,0.00
1556.27,0.00,nan,-33464.93,0.00
1566.54,0.00,nan,-33698.14,0.00
1576.82,0.00,nan,-33950.74,0.00
1587.10,0.00,nan,-34194.97,0.00
1597.38,0.00,0.00,-34389.00,0.00
1607.65,0.00,0.00,-34614.79,0.00
1617.93,0.00,nan,-34851.38,0.00
1628.21,0.00,nan,-35030.98,0.00
1638.48,0.00,nan,-35218.80,0.00
