time,theta_b,dtheta_b,dtheta_w,action
3499.82,0.00,0.10,-28537.50,0.00
3517.96,0.35,19.39,-28534.69,0.00
5498.57,0.00,-0.18,-52.50,2.00
5522.07,-0.35,-14.96,-52.50,0.00
5539.42,-0.70,-20.26,-49.69,0.00
5549.62,-1.05,-34.47,-49.69,0.00
5557.71,-1.41,-43.49,-52.50,0.00
5566.77,-1.76,-38.79,-52.50,0.00
5574.97,-2.11,-42.88,-49.69,0.00
5581.08,-2.46,-57.58,-49.69,0.00
5585.44,-2.81,-80.60,-52.50,0.00
5592.59,-3.16,-49.16,-52.50,0.00
5599.00,-3.52,-54.80,-52.50,0.00
5604.67,-3.87,-62.00,-49.69,0.00
5609.07,-4.22,-79.88,-49.69,0.00
5614.09,-4.57,-70.06,-55.31,0.00
5619.45,-4.92,-65.58,-55.31,0.00
5624.38,-5.27,-71.30,-55.31,0.00
5628.44,-5.62,-86.76,-52.50,0.00
5632.97,-5.98,-77.50,-52.50,0.00
5636.46,-6.33,-100.76,-52.50,0.00
5639.95,-6.68,-100.76,-52.50,0.00
5644.46,-7.03,-78.00,-49.69,0.00
5648.50,-7.38,-87.00,-49.69,0.00
5652.42,-7.73,-89.57,-49.69,0.00
5655.87,-8.09,-102.05,-49.69,0.00
5659.84,-8.44,-88.58,-49.69,0.00
5663.15,-8.79,-106.05,-49.69,0.00
5666.21,-9.14,-115.15,-49.69,0.00
5669.52,-9.49,-106.08,-49.69,0.00
5673.36,-9.84,-91.60,-49.69,0.00
5676.67,-10.20,-106.08,-49.69,0.00
5680.29,-10.55,-97.04,-49.69,0.00
5683.35,-10.90,-115.15,-49.69,0.00
5686.66,-11.25,-106.05,-49.69,0.00
5690.02,-11.60,-104.79,-49.69,0.00
5693.38,-11.95,-104.60,-49.69,0.00
5696.01,-12.30,-133.42,-49.69,0.00
5699.59,-12.66,-98.28,-52.50,0.00
5702.55,-13.01,-118.85,-52.50,0.00
5705.98,-13.36,-102.47,-52.50,0.00
5708.87,-13.71,-121.77,-52.50,0.00
5712.26,-14.06,-103.61,-52.50,0.00
5715.18,-14.41,-120.19,-52.50,0.00
5717.98,-14.77,-125.96,-52.50,0.00
5721.16,-15.12,-110.52,-52.50,0.00
5724.17,-15.47,-116.84,-52.50,0.00
5727.66,-15.82,-100.68,-49.69,0.00
5730.49,-16.17,-124.05,-49.69,0.00
5733.41,-16.52,-120.32,-49.69,0.00
