time,theta_b,dtheta_b,dtheta_w,action
2446.05,0.70,4017.89,-52.50,2.00
2461.65,1.05,3218.82,-52.50,2.00
2474.96,1.41,2580.34,-52.50,2.00
2486.84,1.76,2070.18,-55.31,2.00
2495.91,2.11,1663.90,-49.69,2.00
2507.25,2.46,1337.32,-52.50,2.00
2516.22,2.81,1077.69,-52.50,2.00
2524.11,3.16,871.07,-52.50,2.00
2533.78,3.52,704.13,-49.69,2.00
2541.46,3.87,572.45,-49.69,2.00
2549.40,4.22,466.82,-49.69,2.00
2557.81,4.57,381.81,-49.69,2.00
2565.35,4.92,314.78,-52.50,2.00
2572.85,5.27,261.19,-52.50,2.00
2581.05,5.62,217.54,-55.31,2.00
2588.92,5.98,182.96,-55.31,2.00
2595.61,6.33,156.88,-55.31,2.00
2604.02,6.68,133.86,-52.50,2.00
2610.32,7.03,118.25,-52.50,2.00
2616.49,7.38,106.00,-52.50,2.00
2623.77,7.73,94.46,-52.50,2.00
2631.30,8.09,84.90,-52.50,2.00
2637.07,8.44,80.11,-52.50,2.00
2643.91,8.79,74.37,-52.50,2.00
2648.71,9.14,74.15,-49.69,2.00
2654.72,9.49,71.01,-49.69,2.00
2660.56,9.84,68.85,-55.31,2.00
2666.31,10.20,67.32,-55.31,2.00
2671.29,10.55,67.97,-55.31,2.00
2677.11,10.90,66.46,-52.50,2.00
2682.75,11.25,65.62,-52.50,2.00
2687.85,11.60,66.28,-52.50,2.00
2691.78,11.95,70.94,-52.50,2.00
2697.97,12.30,68.11,-52.50,2.00
2703.02,12.66,68.40,-52.50,2.00
2708.17,13.01,68.38,-52.50,2.00
2713.15,13.36,68.82,-52.50,2.00
2717.24,13.71,72.26,-55.31,2.00
2722.21,14.06,71.96,-55.31,2.00
2727.87,14.41,69.97,-55.31,2.00
2732.08,14.77,72.71,-52.50,2.00
2737.73,15.12,70.61,-52.50,2.00
2742.33,15.47,71.77,-52.50,2.00
2747.21,15.82,71.82,-55.31,2.00
2752.38,16.17,71.06,-55.31,2.00
2756.88,16.52,72.47,-55.31,2.00
2761.71,16.88,72.52,-52.50,2.00
2767.20,17.23,70.84,-52.50,2.00
2771.28,17.58,73.91,-52.50,2.00
2776.79,17.93,71.88,-49.69,2.00
2781.63,18.28,72.04,-49.69,2.00
2785.83,18.63,74.37,-49.69,2.00
2791.61,18.98,71.65,-52.50,2.00
2795.52,19.34,75.33,-52.50,2.00
2801.72,19.69,71.59,-52.50,2.00
2805.47,20.04,76.03,-49.69,2.00
2811.05,20.39,73.42,-49.69,2.00
2815.99,20.74,72.97,-49.69,2.00
2820.73,21.09,73.22,-52.50,2.00
2825.53,21.45,73.23,-52.50,2.00
2830.54,21.80,72.61,-52.50,2.00
2835.03,22.15,73.75,-49.69,2.00
