time,theta_b,dtheta_b,dtheta_w,action
1449.41,0.70,0.24,-52.50,2.00
1497.66,1.05,7.29,-52.50,1.00
1535.00,1.41,9.41,-52.50,1.00
1562.85,1.76,12.62,-52.50,2.00
1587.68,2.11,14.16,-52.50,2.00
1606.62,2.46,18.56,-52.50,2.00
1623.26,2.81,21.13,-52.50,2.00
1637.33,3.16,24.98,-52.50,2.00
1651.71,3.52,24.44,-49.69,2.00
1665.51,3.87,25.48,-52.50,2.00
1680.04,4.22,24.19,-52.50,2.00
1692.25,4.57,28.80,-52.50,2.00
1705.67,4.92,26.19,-49.69,2.00
1716.70,5.27,31.88,-49.69,2.00
1728.20,5.62,30.55,-52.50,2.00
1740.77,5.98,27.98,-52.50,2.00
1752.36,6.33,30.33,-52.50,2.00
1763.89,6.68,30.48,-52.50,2.00
1773.55,7.03,36.42,-52.50,2.00
1783.99,7.38,33.67,-52.50,2.00
1795.41,7.73,30.79,-52.50,2.00
1804.45,8.09,38.86,-52.50,2.00
1815.80,8.44,30.97,-52.50,2.00
1825.74,8.79,35.39,-49.69,2.00
1836.19,9.14,33.62,-49.69,2.00
1845.74,9.49,36.84,-52.50,2.00
1856.81,9.84,31.76,-52.50,2.00
1867.79,10.20,32.01,-52.50,2.00
1876.44,10.55,40.65,-52.50,2.00
1886.84,10.90,33.80,-52.50,2.00
1897.39,11.25,33.33,-52.50,2.00
1906.86,11.60,37.10,-52.50,2.00
1917.30,11.95,33.68,-52.50,2.00
1928.20,12.30,32.27,-55.31,2.00
1937.24,12.66,38.85,-55.31,2.00
1947.05,13.01,35.86,-52.50,2.00
1956.78,13.36,36.12,-52.50,2.00
1965.82,13.71,38.91,-55.31,2.00
1974.61,14.06,39.99,-55.31,2.00
1983.33,14.41,40.33,-52.50,2.00
1992.48,14.77,38.41,-52.50,2.00
2000.93,15.12,41.59,-52.50,2.00
2009.91,15.47,39.16,-52.50,2.00
2019.82,15.82,35.48,-52.50,2.00
2026.92,16.17,49.52,-52.50,2.00
2035.42,16.52,41.35,-52.50,2.00
2044.64,16.88,38.13,-55.31,2.00
2052.31,17.23,45.82,-52.50,2.00
2059.81,17.58,46.90,-52.50,2.00
2068.26,17.93,41.59,-49.69,2.00
2076.28,18.28,43.84,-49.69,2.00
2082.82,18.63,53.78,-52.50,2.00
2091.27,18.98,41.59,-52.50,2.00
2098.25,19.34,50.42,-49.69,2.00
2106.66,19.69,41.78,-49.69,2.00
2114.13,20.04,47.08,-55.31,2.00
2121.04,20.39,50.85,-55.31,2.00
2128.97,20.74,44.36,-52.50,2.00
2135.49,21.09,53.92,-52.50,2.00
2142.22,21.45,52.21,-52.50,2.00
2149.30,21.80,49.64,-52.50,2.00
2156.08,22.15,51.89,-52.50,2.00
2163.35,22.50,48.32,-52.50,2.00
2170.50,22.85,49.20,-49.69,2.00
2178.87,23.20,42.00,-52.50,2.00
2186.06,23.55,48.91,-52.50,2.00
2192.25,23.91,56.78,-49.69,2.00
2199.44,24.26,48.91,-49.69,2.00
2205.72,24.61,55.99,-49.69,2.00
2213.17,24.96,47.18,-49.69,2.00
2220.84,25.31,45.83,-55.31,2.00
2227.38,25.66,53.79,-55.31,2.00
2234.44,26.02,49.79,-55.31,2.00
2241.49,26.37,49.82,-52.50,2.00
2248.29,26.72,51.72,-52.50,2.00
2254.70,27.07,54.88,-49.69,2.00
2260.75,27.42,58.04,-49.69,2.00
2268.95,27.77,42.90,-52.50,2.00
2274.96,28.12,58.46,-52.50,2.00
2282.49,27.77,-46.67,-52.50,2.00
2289.69,28.12,48.84,-52.50,2.00
2296.14,28.48,54.51,-52.50,2.00
2302.50,28.83,55.25,-52.50,2.00
2310.50,29.18,44.00,-52.50,2.00
2317.24,29.53,52.16,-52.50,2.00
2325.25,29.88,43.84,-52.50,2.00
2331.10,30.23,60.19,-52.50,2.00
2338.77,30.59,45.84,-52.50,2.00
2346.26,30.94,46.88,-52.50,2.00
2353.73,31.29,47.10,-52.50,2.00
2361.29,31.64,46.47,-52.50,2.00
2368.31,31.99,50.09,-52.50,2.00
2376.69,32.34,41.99,-52.50,2.00
2383.63,32.70,50.61,-55.31,2.00
2391.24,33.05,46.22,-55.31,2.00
2398.65,33.40,47.45,-52.50,2.00
2406.49,33.75,44.82,-52.50,2.00
2413.60,34.10,49.49,-52.50,2.00
2422.93,34.45,37.66,-52.50,2.00
2430.38,34.80,47.23,-52.50,2.00
2438.48,35.16,43.37,-49.69,2.00
2446.15,35.51,45.84,-49.69,2.00
2455.04,35.86,39.55,-55.31,2.00
2464.06,36.21,38.99,-55.31,2.00
2472.12,36.56,43.59,-52.50,2.00
2482.41,36.91,34.19,-52.50,2.00
