time,theta_b,dtheta_b
3933.15,0.00,-0.09
4445.25,0.35,0.69
4468.37,0.70,15.21
4489.71,1.05,16.47
4507.19,1.41,20.12
4526.90,1.76,17.83
4543.83,2.11,20.77
4556.48,2.46,27.79
4566.60,2.81,34.74
4576.85,3.16,34.30
4586.54,3.52,36.25
4595.56,3.87,39.00
4604.19,4.22,40.71
4611.74,4.57,46.60
4619.24,4.92,46.88
4627.83,5.27,40.90
4634.99,5.62,49.15
4642.32,5.98,47.98
4650.40,6.33,43.49
4657.15,6.68,52.12
4663.86,7.03,52.34
4670.24,7.38,55.11
4676.75,7.73,54.02
4682.31,8.09,63.23
4688.63,8.44,55.59
4692.91,8.79,82.26
4699.54,9.14,53.03
4705.12,9.49,62.97
4710.79,9.84,62.01
4716.02,10.20,67.17
4720.76,10.55,74.17
4726.72,10.90,58.98
4732.03,11.25,66.25
4737.52,11.60,63.98
4743.15,11.95,62.48
4748.34,12.30,67.73
4753.79,12.66,64.48
4758.77,13.01,70.71
4763.56,13.36,73.27
4769.85,13.71,55.96
4774.90,14.06,69.51
4779.53,14.41,76.05
4785.64,14.77,57.55
4790.21,15.12,76.81
4795.58,15.47,65.50
4801.25,15.82,62.00
4806.23,16.17,70.58
4811.11,16.52,72.09
4816.32,16.88,67.49
4821.34,17.23,70.05
4826.64,17.58,66.33
4831.83,17.93,67.76
4836.84,18.28,70.07
4841.99,18.63,68.30
4847.92,18.98,59.28
4852.02,19.34,85.75
4857.95,19.69,59.28
4862.58,20.04,76.03
4868.81,20.39,56.36
4874.59,20.74,60.83
4880.02,21.09,64.74
4885.65,21.45,62.49
4891.84,21.80,56.75
4897.03,22.15,67.74
4902.53,22.50,63.97
4908.81,22.85,55.97
4915.40,23.20,53.38
4920.11,23.55,74.63
4926.50,23.91,55.01
4932.75,24.26,56.20
4938.99,24.61,56.34
4945.48,24.96,54.16
4951.38,25.31,59.62
4956.77,25.66,65.21
4963.73,26.02,50.56
4970.40,26.37,52.68
4976.59,26.72,56.77
4983.92,27.07,47.97
4991.40,27.42,46.99
4997.62,27.77,56.57
5005.12,28.12,46.86
5012.52,28.48,47.55
5018.95,28.83,54.67
5027.59,29.18,40.69
5035.63,29.53,43.72
5043.51,29.88,44.61
5052.58,30.23,38.75
5058.69,30.59,57.57
5069.50,30.94,32.50
5077.53,31.29,43.81
5087.74,31.64,34.44
5096.20,31.99,41.55
5104.84,32.34,40.71
5112.34,32.70,46.86
5122.90,33.05,33.30
5130.57,33.40,45.79
5138.86,33.75,42.42
5148.52,34.10,36.41
5156.66,34.45,43.18
5166.08,34.80,37.31
5173.83,35.16,45.38
5182.39,35.51,41.04
5190.64,35.86,42.64
5197.83,36.21,48.85
5204.99,36.56,49.15
5212.71,36.91,45.54
5218.97,37.27,56.12
5226.80,37.62,44.93
5234.04,37.97,48.55
5240.84,38.32,51.67
5247.65,38.67,51.66
5255.13,39.02,46.99
5262.74,39.38,46.19
5267.45,39.73,74.63
5274.95,40.08,46.86
5284.33,40.43,37.49
5291.53,40.78,48.84
5300.60,41.13,38.76
5308.60,41.48,43.95
5317.70,41.84,38.63
5325.38,42.19,45.79
5336.19,42.54,32.50
5345.18,42.89,39.12
5356.43,43.24,31.24
5365.77,43.59,37.66
5376.58,43.95,32.50
5388.68,44.30,29.06
5401.19,44.65,28.12
5415.41,45.00,24.72
5432.77,45.35,20.25
5454.66,45.70,16.06
5486.68,46.05,10.98
5626.04,45.70,-2.52
5669.26,45.35,-8.14
5702.10,45.00,-10.70
5734.70,44.65,-10.78
5767.94,44.30,-10.58
5801.81,43.95,-10.38
5990.92,43.59,-1.86
6590.17,43.24,-0.59
6599.42,42.89,-38.02
6605.53,42.54,-57.57
6615.06,42.19,-36.86
6619.99,41.84,-71.37
6624.63,41.48,-75.74
6628.82,41.13,-83.95
6633.10,40.78,-82.26
6636.85,40.43,-93.73
6641.29,40.08,-79.02
6644.79,39.73,-100.73
6647.97,39.38,-110.42
6650.43,39.02,-143.03
6653.77,38.67,-105.13
6657.35,38.32,-98.31
6659.96,37.97,-134.34
6662.67,37.62,-129.97
6665.84,37.27,-110.90
6668.65,36.91,-125.24
6671.45,36.56,-125.29
6673.31,36.21,-188.91
6675.84,35.86,-138.96
6678.52,35.51,-131.43
6680.64,35.16,-165.68
6683.35,34.80,-129.97
6685.64,34.45,-152.99
6687.88,34.10,-156.95
