theta_b,dtheta_b,dtheta_w,B_P,B_D,W_D,time
0.99,0.61,54.90,0.00,0.00,0.00,3519
1.21,0.61,48.80,0.00,0.00,0.00,3529
1.44,0.61,48.80,0.00,0.00,0.00,3539
1.66,0.61,45.75,0.00,0.00,0.00,3549
1.88,0.61,67.10,0.00,0.00,0.00,3559
2.09,0.61,67.10,0.00,0.00,0.00,3569
2.31,0.61,42.70,0.00,0.00,0.00,3579
2.53,0.61,48.80,0.00,0.00,0.00,3589
2.74,0.61,48.80,0.00,0.00,0.00,3599
2.95,0.61,67.10,0.00,0.00,0.00,3609
3.16,0.61,42.70,0.00,0.00,0.00,3619
3.38,0.61,42.70,0.00,0.00,0.00,3629
3.58,0.61,51.85,0.00,0.00,0.00,3639
3.79,0.61,48.80,0.00,0.00,0.00,3649
4.00,0.61,48.80,0.00,0.00,0.00,3659
4.20,0.49,15.25,0.00,0.00,0.00,3669
4.41,0.61,51.85,0.00,0.00,0.00,3679
4.61,0.67,51.85,0.00,0.00,0.00,3689
4.81,0.61,54.90,0.00,0.00,0.00,3699
5.01,0.61,54.90,0.00,0.00,0.00,3709
5.21,0.61,54.90,0.00,0.00,0.00,3719
5.41,0.61,54.90,0.00,0.00,0.00,3728
5.60,0.61,67.10,0.00,0.00,0.00,3738
5.80,0.61,67.10,0.00,0.00,0.00,3748
5.99,0.61,70.15,0.00,0.00,0.00,3756
6.18,0.61,51.85,0.00,0.00,0.00,3764
6.37,0.61,51.85,0.00,0.00,0.00,3772
6.56,0.61,61.00,0.00,0.00,0.00,3780
6.75,0.61,70.15,0.00,0.00,0.00,3788
6.94,0.61,70.15,0.00,0.00,0.00,3796
7.12,0.61,48.80,0.00,0.00,0.00,3804
7.31,0.61,45.75,0.00,0.00,0.00,3812
7.49,0.61,45.75,0.00,0.00,0.00,3820
7.67,0.49,64.05,0.00,0.00,0.00,3828
7.85,0.61,51.85,0.00,0.00,0.00,3837
8.03,0.61,51.85,0.00,0.00,0.00,3847
8.21,0.61,57.95,0.00,0.00,0.00,3857
8.39,0.61,45.75,0.00,0.00,0.00,3867
8.56,0.61,45.75,0.00,0.00,0.00,3877
8.74,0.67,61.00,0.00,0.00,0.00,3887
8.91,0.61,45.75,0.00,0.00,0.00,3897
9.09,0.61,45.75,0.00,0.00,0.00,3907
9.26,0.61,51.85,0.00,0.00,0.00,3917
9.43,0.61,57.95,0.00,0.00,0.00,3927
9.60,0.61,57.95,0.00,0.00,0.00,3937
9.77,0.61,54.90,0.00,0.00,0.00,3947
9.93,0.61,51.85,0.00,0.00,0.00,3957
10.10,0.61,51.85,0.00,0.00,0.00,3967
10.26,0.61,42.70,0.00,0.00,0.00,3977
10.43,0.61,48.80,0.00,0.00,0.00,3987
10.59,0.61,48.80,0.00,0.00,0.00,3997
10.75,0.67,48.80,0.00,0.00,0.00,4007
10.92,0.61,54.90,0.00,0.00,0.00,4017
11.08,0.61,54.90,0.00,0.00,0.00,4027
11.23,0.61,57.95,0.00,0.00,0.00,4037
11.39,0.61,51.85,0.00,0.00,0.00,4047
11.55,0.49,51.85,0.00,0.00,0.00,4057
11.70,0.61,70.15,0.00,0.00,0.00,4067
11.86,0.67,57.95,0.00,0.00,0.00,4077
12.01,0.61,57.95,0.00,0.00,0.00,4086
12.16,0.61,51.85,0.00,0.00,0.00,4094
12.31,0.49,48.80,0.00,0.00,0.00,4102
12.46,0.49,48.80,0.00,0.00,0.00,4110
12.61,0.61,39.65,0.00,0.00,0.00,4118
12.76,0.61,48.80,0.00,0.00,0.00,4126
12.91,0.67,48.80,0.00,0.00,0.00,4134
