time,theta_b,dtheta_b,dtheta_w,action
1.23,0,0,0,0
2.36,0,0,0,0
3.49,0,0,0,0
4.63,0.15,35.75,-174.37,1
5.77,0.15,35.75,-174.37,1
6.9,0.15,35.75,-174.37,1
8.03,0.15,35.75,-174.37,1
9.16,0.02,-30.79,-176.25,1
10.29,0.02,-30.79,-176.25,1
11.43,0.02,-30.79,-176.25,1
12.56,-0.1,-30.88,-178.12,-1
13.69,-0.1,-30.88,-178.12,-1
14.82,-0.1,-30.88,-178.12,-1
15.95,-0.1,-30.88,-178.12,-1
17.09,-0.23,-30.58,-176.25,-1
18.22,-0.23,-30.58,-176.25,-1
19.35,-0.23,-30.58,-176.25,-1
20.48,-0.23,-30.58,-174.37,-1
21.62,-0.35,-30.17,-174.37,-1
22.75,-0.35,-30.17,-174.37,-1
23.88,-0.35,-30.17,-174.37,-1
25.01,-0.48,-30.08,-176.25,-1
26.15,-0.48,-30.08,-176.25,-1
27.28,-0.48,-30.08,-176.25,-1
28.41,-0.48,-30.08,-174.37,-1
29.54,-0.6,-30.11,-174.37,-1
30.68,-0.6,-30.11,-174.37,-1
31.82,-0.6,-30.11,-174.37,-1
32.95,-0.6,-30.11,-174.37,-1
34.08,-0.73,-29.96,-174.37,-1
35.21,-0.73,-29.96,-174.37,-1
36.34,-0.73,-29.96,-174.37,-1
37.47,-0.85,-29.93,-176.25,-1
38.6,-0.85,-29.93,-176.25,-1
39.74,-0.85,-29.93,-176.25,-1
40.87,-0.85,-29.93,-176.25,-1
42,-0.97,-29.67,-176.25,-1
43.13,-0.97,-29.67,-176.25,-1
44.27,-0.97,-29.67,-176.25,-1
45.4,-1.1,-29.81,-180,-1
46.53,-1.1,-29.81,-180,-1
47.66,-1.1,-29.81,-180,-1
48.79,-1.1,-29.81,-174.37,-1
49.92,-1.22,-29.75,-174.37,-1
51.07,-1.22,-29.75,-174.37,-1
52.2,-1.22,-29.75,-174.37,-1
53.33,-1.22,-29.75,-176.25,-1
54.43,-1.34,-29.53,-176.25,-1
55.56,-1.34,-29.53,-176.25,-1
56.69,-1.34,-29.53,-176.25,-1
57.82,-1.46,-28.96,-176.25,-1
58.95,-1.46,-28.96,-176.25,-1
60.08,-1.46,-28.96,-176.25,-1
