time,theta_b,dtheta_b,dtheta_w,action
5.07,0.00,0.00,207.67,0.00
10.15,0.25,47.56,202.29,1.00
15.20,0.13,-22.86,195.16,-1.00
20.25,-0.11,-25.44,201.50,-1.00
25.32,-0.23,-29.20,201.85,-1.00
30.37,-0.34,-28.57,189.67,-1.00
35.44,-0.46,-29.09,198.08,-1.00
40.51,-0.69,-29.04,191.05,-1.00
45.58,-0.80,-28.32,207.72,-1.00
50.65,-0.92,-28.88,207.81,-1.00
55.70,-1.04,-28.79,197.70,-1.00
60.72,-1.27,-28.63,210.44,-1.00
65.79,-1.38,-28.62,225.62,-1.00
70.82,-1.49,-28.12,193.43,-1.00
75.88,-1.61,-28.79,203.14,-1.00
80.95,-1.84,-27.59,206.84,-1.00
86.02,-1.95,-27.90,202.57,-1.00
91.09,-2.06,-27.67,203.79,-1.00
96.16,-2.17,-27.84,196.61,-1.00
101.23,-2.39,-27.78,211.37,-1.00
106.30,-2.50,-27.77,192.87,-1.00
111.37,-2.61,-27.62,183.86,-1.00
116.44,-2.72,-27.66,210.42,-1.00
121.51,-2.95,-26.57,219.27,-1.00
126.53,-3.06,-27.46,183.62,-1.00
131.56,-3.17,-27.32,219.47,-1.00
136.63,-3.27,-27.34,185.12,-1.00
141.68,-3.49,-26.00,209.63,-1.00
146.75,-3.60,-26.79,199.75,-1.00
151.79,-3.71,-26.52,204.52,-1.00
156.86,-3.81,-26.91,196.54,-1.00
161.93,-4.03,-25.67,215.97,-1.00
167.00,-4.13,-26.73,185.08,0.00
172.07,-4.24,-26.44,196.66,0.00
177.14,-4.35,-26.68,213.30,0.00
182.21,-4.45,-25.96,209.38,0.00
187.28,-4.66,-22.94,208.23,0.00
192.32,-4.77,-20.58,221.67,0.00
197.39,-4.87,-20.42,222.58,0.00
202.46,-4.98,-20.51,220.74,0.00
207.53,-5.08,-20.55,220.49,0.00
212.57,-5.19,-20.37,209.38,-1.00
217.62,-5.19,-20.37,212.54,-1.00
222.67,-5.39,-22.52,211.30,-1.00
227.75,-5.49,-19.77,201.43,-1.00
232.83,-5.59,-21.82,208.93,-1.00
237.91,-5.70,-19.66,213.43,-1.00
242.98,-5.80,-19.27,208.95,-1.00
248.06,-5.90,-19.40,208.99,-1.00
253.14,-6.00,-21.47,204.41,-1.00
258.22,-6.10,-19.69,205.13,-1.00
263.29,-6.20,-21.69,202.21,-1.00
268.33,-6.30,-19.57,200.59,-1.00
273.36,-6.40,-19.38,195.43,-1.00
278.43,-6.50,-19.12,225.78,-1.00
283.51,-6.60,-21.54,214.06,-1.00
288.59,-6.70,-19.60,207.69,-1.00
293.64,-6.80,-19.35,215.09,-1.00
298.72,-6.90,-19.28,212.12,-1.00
303.78,-7.00,-21.59,208.71,-1.00
308.82,-7.09,-19.35,196.63,-1.00
313.89,-7.19,-19.18,207.54,-1.00
318.97,-7.29,-18.88,226.06,-1.00
324.05,-7.39,-19.04,266.19,-1.00
329.13,-7.49,-21.35,244.94,-1.00
334.20,-7.58,-18.80,222.74,-1.00
339.28,-7.68,-18.89,228.03,-1.00
344.36,-7.77,-18.87,197.04,-1.00
349.43,-7.87,-18.78,192.34,-1.00
354.51,-7.97,-21.01,213.22,-1.00
359.59,-8.06,-18.65,214.44,-1.00
364.66,-8.15,-18.45,213.86,-1.00
369.69,-8.25,-18.55,220.36,-1.00
374.77,-8.34,-18.67,221.96,-1.00
379.84,-8.44,-18.61,231.50,-1.00
384.88,-8.53,-20.30,191.16,-1.00
389.96,-8.63,-18.31,207.65,-1.00
395.03,-8.72,-18.35,186.76,-1.00
400.06,-8.81,-18.14,200.62,-1.00
405.14,-8.90,-18.22,197.12,-1.00
410.22,-9.00,-18.16,190.65,-1.00
415.28,-9.09,-20.28,194.67,-1.00
420.36,-9.18,-17.69,195.55,-1.00
425.43,-9.27,-17.60,190.77,-1.00
430.51,-9.37,-19.93,201.77,-1.00
435.59,-9.46,-17.75,202.34,-1.00
440.66,-9.55,-17.68,203.84,-1.00
445.74,-9.64,-17.71,219.00,-1.00
450.82,-9.73,-17.24,193.34,-1.00
455.89,-9.82,-19.74,209.90,-1.00
460.97,-9.91,-16.89,188.33,-1.00
466.04,-10.00,-17.40,192.58,-1.00
471.12,-10.08,-19.45,209.78,-1.00
476.19,-10.17,-17.01,198.84,-1.00
481.27,-10.26,-17.11,195.08,-1.00
486.35,-10.35,-17.56,206.92,-1.00
491.40,-10.44,-19.44,202.76,-1.00
496.48,-10.53,-17.34,212.39,-1.00
501.54,-10.62,-17.37,209.13,-1.00
506.59,-10.70,-17.33,220.40,-1.00
511.65,-10.79,-17.05,197.62,-1.00
516.72,-10.88,-19.05,198.87,-1.00
521.80,-10.96,-16.52,219.37,-1.00
526.88,-11.05,-16.46,209.19,-1.00
531.95,-11.14,-18.53,207.61,-1.00
537.03,-11.22,-16.45,214.57,-1.00
542.11,-11.31,-16.71,206.33,-1.00
547.18,-11.39,-16.83,210.23,-1.00
552.26,-11.48,-18.53,202.81,-1.00
557.34,-11.56,-16.46,230.41,-1.00
562.41,-11.65,-16.10,193.20,-1.00
567.49,-11.73,-18.44,208.71,-1.00
572.57,-11.82,-16.44,221.06,-1.00
577.61,-11.90,-16.31,191.88,-1.00
582.67,-11.98,-16.14,216.92,-1.00
587.72,-12.15,-18.28,208.49,-1.00
592.80,-12.23,-16.01,226.20,-1.00
597.88,-12.31,-16.13,212.54,-1.00
602.96,-12.40,-16.03,200.61,-1.00
608.02,-12.40,-16.03,218.36,-1.00
613.09,-12.56,-17.92,222.54,-1.00
618.17,-12.64,-16.16,217.98,-1.00
623.24,-12.73,-16.04,279.02,-1.00
628.32,-12.81,-16.09,192.69,-1.00
633.40,-12.89,-15.96,218.42,-1.00
638.47,-12.97,-15.77,203.53,-1.00
643.55,-13.05,-17.71,226.49,-1.00
648.62,-13.13,-15.76,209.37,-1.00
653.70,-13.21,-15.68,208.70,-1.00
658.78,-13.29,-15.45,226.13,-1.00
663.86,-13.37,-17.49,199.33,-1.00
668.92,-13.45,-14.93,199.33,-1.00
674.00,-13.53,-15.41,203.23,-1.00
679.04,-13.61,-14.90,188.70,-1.00
684.08,-13.68,-17.06,203.64,-1.00
689.14,-13.76,-15.12,211.24,-1.00
694.20,-13.84,-15.10,213.25,-1.00
699.27,-13.91,-14.98,222.57,-1.00
704.33,-13.99,-15.14,205.46,-1.00
709.41,-14.07,-17.11,214.34,-1.00
714.48,-14.15,-15.01,229.31,-1.00
719.56,-14.22,-14.81,234.93,-1.00
724.63,-14.30,-14.96,232.86,-1.00
729.71,-14.38,-16.31,186.11,-1.00
734.79,-14.45,-14.81,203.62,-1.00
739.86,-14.53,-14.36,200.07,-1.00
744.94,-14.60,-16.61,199.48,-1.00
750.02,-14.68,-14.54,202.80,-1.00
755.09,-14.76,-14.60,201.89,-1.00
760.17,-14.83,-15.99,223.91,-1.00
765.25,-14.90,-14.49,221.86,-1.00
770.32,-14.98,-14.21,209.77,-1.00
775.40,-15.05,-14.57,226.99,-1.00
780.43,-15.13,-15.73,204.77,-1.00
785.49,-15.20,-14.26,206.71,-1.00
790.55,-15.27,-14.57,203.91,-1.00
795.62,-15.35,-14.38,212.88,-1.00
800.65,-15.42,-16.15,216.39,-1.00
805.73,-15.49,-14.25,213.30,-1.00
810.81,-15.57,-14.20,200.61,-1.00
815.88,-15.64,-14.37,200.94,-1.00
820.96,-15.71,-13.82,199.81,-1.00
826.04,-15.78,-15.87,199.29,-1.00
831.11,-15.85,-12.62,202.61,-1.00
836.19,-15.93,-15.83,203.07,-1.00
841.27,-16.00,-13.56,197.84,-1.00
846.34,-16.07,-15.41,190.24,-1.00
851.42,-16.14,-13.45,203.31,-1.00
856.49,-16.21,-13.89,194.86,-1.00
861.55,-16.28,-13.80,199.10,-1.00
866.61,-16.35,-13.73,197.47,-1.00
871.69,-16.42,-14.89,221.88,-1.00
876.73,-16.49,-13.72,193.60,-1.00
881.78,-16.56,-13.35,193.28,-1.00
886.85,-16.63,-15.29,197.74,-1.00
891.93,-16.70,-13.44,195.37,-1.00
897.00,-16.76,-13.40,211.52,-1.00
902.08,-16.83,-13.68,201.77,-1.00
907.16,-16.90,-13.24,203.11,-1.00
912.23,-16.97,-13.27,215.90,-1.00
917.31,-17.04,-14.80,214.85,-1.00
922.38,-17.10,-13.02,211.31,-1.00
927.46,-17.17,-13.08,197.45,-1.00
932.53,-17.24,-12.90,193.23,-1.00
